8,Animals,Back to December,Bad Guy,Bad Luck,Better,Blank Space,Bury a Friend,Change,Come Out and Play,Delicate,Everything Has Changed,Fearless,Girls Like you,Gorgeous,Harder to Breathe,Idontwannabeyouanymore,Ilomilo,Learn to Fly,Listen Before i Go,Location,Look What you Made Me Do,Love Story,Love Yourself,Me!,Mistletoe,Moves Like Jagger,My Strange Addiction,Ocean Eyes,Our Song,Right Back,Safe & Sound,Say Something,She will be Loved,Should've Said No,Sorry,Speak Now,Sugar,Suncity,Sunday Morning,Talk,Teardrops on My Guitar,That Should be Me,Toxic,Vertigo,Wait,Walk,White Horse,Wildest Dreams,Wish you Were Gay,Won't Go Home without you,Xanny,Young Dumb & Broke,all the Good Girls Go to Hell,i Love you,when the Party's over,you Belong with Me,you Need to Calm Down,you Should See Me in a Crown
,,F,,F,F,Am,,,,Dm,,F,G,G,Dm,G,,Bb,Am,Em,Am,F,Am,C,G,,,,Dm,F,C,D,,,D#,,Am,,Am,C,G,C,,C,G,A,Em,C,D,C,C,,F,F,Am,A7,,
,,Am,,Am,Am,F,,,,Am,,G,Am,F,C#,Am,,D#,F,F,G,Am,F,G,Am,,,,F,C,Am,Am,,,Gm,,Dm,,D,Em,Am,C,,A7,Am,Am,C,G,G,Dm,F#,,Dm,Dm,Em,F,,
,,G,,G,G,G,,,,F,,C,F,Em,C#,G,,F,C,Dm,F,G,C,Dm,F,,,,G,Am,G,C,,,F,,C,,G,Dm,F,Am,,Dm,F,C,D,D,Em,G,Dm,,C,G,G,Cm,,
,,C,,C,Em,F,,,,Em,,G,G,F,C,C,,Bb,Am,,C,F,G,F,C,,,,C,C,F,Am,,,D#,,F,,,Em,Am,F,,C,C,B,Em,Am,,C,G,,Am,Am,C,D#,,
,,F,,F,F,G,,,,Am,,Dm,Am,Em,Dm,G,,A7,C,,Am,G,C,C,G,,,,Dm,F,C,C,,,Gm,,Am,,,Dm,F,C,,Gm,G,C#,D,C,,Am,Am,,F,C,C,A7,,
,,Am,,F,Am,C,,,,G,,F,F,G,Am#,Am,,C,F,,G,Am,C,C,Am,,,,F,C,Am,G,,,F,,Dm,,,C,C,C,,Dm,Am,A,C,,,Dm,Bb,,Dm,F,Em,A7,,
,,G,,Am,G,Am,,,,Em,,G,C,C,B,D,,Bb,C,,F,C,G,G,G,,,,G,Am,G,D,,,D#,,C,,,Em,G,Am,,C,F,Am,G,,,F,C,,C,C,G,F,,
,,F,,C,F,Dm,,,,Am,,Dm,G,Am,Dm,C,,D#,Am,,C,F,Am,Dm,C,,,,C,C,F,Am,,,Gm,,F,,,Dm,C,F,,Gm,C,C,D,,,G,F#,,Am,Dm,C,Cm,,
,,Am,,Dm,Am,F,,,,G,,F,Am,F,Am#,G,,F,F,,Am,G,F,F,G,,,,Dm,F,C,C,,,F,,Am,,,Em,G,C,,Dm,G,B,C,,,C,Dm,,F,G,Am,D#,,
,,G,,Am,G,C,,,,Em,,C,F,G,B,Am,,Bb,C,,G,Am,C,C,Am,,,,F,C,Am,G,,,D#,,Dm,,,Dm,Am,C,,C,Am,C#,G,,,C,G,,Dm,F,Em,A7,,
,,C,,F,F,Am,,,,Am,,G,G,C,Am#,B,,A7,Am,,F,F,G,C,F,,,,G,Am,G,D,,,Gm,,C,,,C,F,Am,,Gm,F,A,D,,,Am,Am,,C,Dm,G,A7,,
,,F,,Am,Am,Dm,,,,G,,Dm,Am,Am,Dm,C,,C,C,,C,G,C,G,C,,,,C,C,F,Am,,,F,,F,,,Em,C,F,,Dm,C,Am,C,,,F#,Bb,,Am,G,C,F,,
,,Am,,G,G,F,,,,C,,F,F,F,Am#,G,,Bb,F,,Am,Am,C,Dm,G,,,,Dm,F,C,C,,,D#,,Am,,,Dm,G,C,,C,G,C,F,,,F,C,,F,F,Am,Cm,,
,,G,,C,F,C,,,,Dm,,C,C,G,B,Am,,D#,C,,F,C,G,F,Am,,,,F,C,Am,G,,,Gm,,Dm,,,Em,C,C,,Gm,Am,B,Em,,,G,F#,,Dm,Dm,Em,D#,,
,,F,,F,Am,C,,,,Am,,G,G,C,Dm,D,,F,Am,,C,F,Am,C,G,,,,G,Am,G,D,,,F,,C,,,Dm,G,C,,Dm,F,Fm#,D,,,C,Dm,,C,G,G,A7,,
,,C,,F,G,Am,,,,F,,Dm,Am,Am,Dm,C,,Bb,F,,Am,G,F,C,C,,,,C,C,F,Am,,,D#,,,,,C,Am,F,,C,C,Am,C,,,Am,G,,Am,F,C,A7,,
,,Em,,Am,F,Dm,,,,C,,F,F,F,C#,B,,A7,C,,F,Am,C,G,G,,,,Dm,F,C,C,,,Gm,,,,,Em,F,Fm,,C,G,C,G,,,F#,Am,,F,F,Am,F,,
,,F,,C,Am,F,,,,Dm,,C,G,G,C#,Em,,C,Am,,C,F,G,Dm,Am,,,,F,C,G,G,,,F,,,,,Dm,C,C,,A7,Am,C,D,,,F,Bb,,Dm,Dm,Em,Cm,,
